CodMun,Favela,Cortico,Lote_Irr,Ocupacao
1502764,Não,Não,Sim,Não
1502772,-,-,-,-
1502806,Sim,Não,Sim,Não
1502855,Não,Não,Sim,Sim
1502905,Sim,Sim,Sim,Não
1502939,Não,Não,Sim,Não
1502954,Sim,Não,Sim,Não
1503002,-,-,-,-
1503044,Não,Não,Sim,Sim
1503077,-,-,-,-
1503093,Sim,Sim,Sim,Sim
1503101,Sim,Não,Não,Não
1503200,-,-,-,-
1503309,Não,Não,Sim,Não
1503408,Não,Não,Sim,Não
1503457,Sim,Não,Sim,Sim
1503507,-,-,-,-
1503606,Sim,Sim,Sim,Sim
1503705,Não,Não,Sim,Não
1503754,Não,Não,Sim,Não
1503804,Não,Não,Sim,Não
1503903,Não,Não,Sim,Sim
1504000,Sim,Não,Sim,Sim
1504059,Sim,Sim,Sim,Não
1504109,Não,Não,Sim,Não
1504208,Sim,Não,Sim,Não
1504307,Não,Não,Sim,Não
1504406,Não,Não,Sim,Não
1504422,Não,Não,Sim,Sim
1504455,Não,Não,Sim,Não
1504505,Não,Não,Sim,Sim
1504604,Sim,Não,Sim,Não
1504703,Não,Não,Sim,Sim
1504752,Não,Não,Sim,Não
1504802,Sim,Não,Sim,Não
1504901,Sim,Não,Sim,Não
1504950,Não,Não,Sim,Sim
1504976,-,-,-,-
1505007,Não,Não,Sim,Sim
1505031,Sim,Não,Sim,Não
1505064,Sim,Sim,Sim,Sim
1505106,Não,Não,Sim,Não
1505205,Sim,Sim,Sim,Não
1505304,Não,Não,Sim,Sim
1505403,Não,Não,Sim,Não
1505437,Não,Sim,Sim,Sim
1505486,Sim,Não,Sim,Não
1505494,Não,Não,Sim,Não
1505502,Não,Não,Sim,Não
1505536,Sim,Não,Sim,Não
1505551,Não,Não,Sim,Sim
1505601,Não,Não,Sim,Não
1505635,Não,Não,Sim,Não
1505650,Não,Não,Sim,Não
1505700,Sim,Não,Sim,Não
1505809,Sim,Não,Não,Sim
1505908,Sim,Não,Sim,Não
1506005,Sim,Não,Sim,Não
1506104,Não,Não,Sim,Sim
1506112,Sim,Sim,Sim,Sim
1506138,Não,Não,Sim,Não
1506161,Não,Sim,Sim,Não
1506187,Não,Sim,Sim,Sim
1506195,Não,Não,Sim,Não
1506203,Não,Não,Sim,Sim
1506302,Não,Não,Sim,Não
1506351,Sim,Não,Sim,Sim
1506401,Sim,Não,Não,Não
1506500,Não,Não,Sim,Sim
1506559,-,-,-,-
1506583,-,-,-,-
1506609,Não,Não,Sim,Não
1506708,Não,Não,Sim,Não
1506807,Sim,Não,Sim,Sim
1506906,Não,Sim,Sim,Não
1507003,Não,Não,Sim,Não
1507102,Não,Não,Sim,Não
1507151,Não,Não,Sim,Não
1507201,Sim,Não,Sim,Não
1507300,Sim,Sim,Sim,Sim
1507409,Não,Não,Sim,Não
1507458,Não,Não,Sim,Não
1507466,Não,Não,Sim,Sim
1507474,Não,Não,Sim,Não
1507508,Não,Não,Sim,Sim
1507607,Não,Não,Sim,Não
1507706,-,-,-,-
1507755,Não,Sim,Não,Sim
1507805,Não,Não,Sim,Não
1507904,Não,Não,Sim,Sim
1507953,Não,Sim,Sim,Não
1507961,Não,Não,Sim,Não
1507979,-,-,-,-
1508001,Não,Não,Sim,Não
1508035,Sim,Sim,Sim,Sim
1508050,Sim,Sim,Sim,Não
1508084,Sim,Não,Sim,Sim
1508100,Sim,Sim,Sim,Sim
1508126,Não,Sim,Sim,Sim
1508159,Não,Não,Sim,Sim
1508209,Não,Não,Sim,Não
1508308,Sim,Não,Sim,Sim
1508357,Sim,Não,Sim,Não
1508407,Sim,Sim,Sim,Sim
1600055,Sim,Não,Não,Não
1600105,Sim,Não,Não,Não
1600154,Não,Sim,Sim,Não
1600204,Sim,Sim,Não,Não
1600212,Sim,Não,Não,Não
1600238,Sim,Não,Sim,Não
1600253,Sim,Sim,Não,Não
1600279,Sim,Sim,Sim,Sim
1600303,Sim,Sim,Sim,Sim
1600402,Sim,Sim,Sim,Não
1600501,Sim,Sim,Sim,Não
1600535,Sim,Sim,Sim,Não
1600550,Não,Não,Sim,Não
1600600,Sim,Sim,Sim,Não
1600709,Sim,Sim,Sim,Não
1600808,Sim,Sim,Sim,Não
1700251,-,-,-,-
1700301,-,-,-,-
1700350,Não,Não,Sim,Não
1700400,-,-,-,-
1700707,-,-,-,-
1701002,Não,Não,Sim,Não
1701051,Não,Não,Sim,Não
1701101,Não,Não,Sim,Não
1701309,Não,Não,Sim,Não
1701903,-,-,-,-
1702000,Não,Não,Sim,Não
1702109,Não,Sim,Sim,Não
1702158,Não,Não,Sim,Sim
1702208,Não,Não,Sim,Não
1702307,Não,Não,Sim,Não
1702406,-,-,-,-
1702554,Não,Não,Sim,Não
1702703,-,-,-,-
1702901,Não,Não,Sim,Sim
1703008,Não,Não,Sim,Não
1703057,-,-,-,-
1703073,Não,Não,Sim,Não
1703107,-,-,-,-
1703206,Não,Não,Sim,Sim
1703305,-,-,-,-
1703602,-,-,-,-
1703701,Não,Não,Não,Sim
1703800,-,-,-,-
1703826,Não,Não,Sim,Não
1703842,Não,Não,Sim,Não
1703867,Não,Não,Sim,Não
1703883,-,-,-,-
1703891,Não,Não,Não,Sim
1703909,-,-,-,-
1704105,Não,Não,Sim,Não
1704600,-,-,-,-
1705102,-,-,-,-
1705508,Não,Não,Sim,Não
1705557,-,-,-,-
1705607,-,-,-,-
1706001,Não,Não,Sim,Não
1706100,Não,Não,Sim,Não
1706258,Não,Não,Sim,Não
1706506,Não,Não,Sim,Não
1707009,-,-,-,-
1707108,Não,Não,Sim,Não
1707207,-,-,-,-
1707306,-,-,-,-
1707405,-,-,-,-
1707553,-,-,-,-
1707652,-,-,-,-
1707702,Não,Não,Sim,Não
1708205,Não,Não,Sim,Não
1708254,-,-,-,-
1708304,-,-,-,-
1709005,Não,Sim,Sim,Não
1709302,-,-,-,-
1709500,Não,Não,Sim,Não
1709807,-,-,-,-
1710508,-,-,-,-
1710706,Não,Não,Sim,Não
1710904,-,-,-,-
1711100,-,-,-,-
1711506,-,-,-,-
1711803,Não,Não,Sim,Não
1711902,-,-,-,-
1711951,Não,Não,Sim,Sim
1712009,-,-,-,-
1712157,-,-,-,-
1712405,Não,Não,Sim,Não
1712454,Não,Não,Sim,Não
1712504,-,-,-,-
1712702,Não,Não,Sim,Não
1712801,Não,Não,Sim,Não
1713205,-,-,-,-
1713304,-,-,-,-
1713601,-,-,-,-
1713700,-,-,-,-
1713809,Não,Não,Sim,Não
1713957,-,-,-,-
1714203,-,-,-,-
1714302,Não,Não,Sim,Não
1714880,Não,Não,Sim,Não
1715002,-,-,-,-
1715101,Não,Não,Sim,Não
1715150,-,-,-,-
1715259,-,-,-,-
1715507,Não,Não,Sim,Não
1715705,Não,Não,Sim,Não
1715754,-,-,-,-
1716109,-,-,-,-
1716208,Não,Não,Sim,Sim
1716307,Não,Não,Sim,Não
1716505,Não,Não,Sim,Não
1716604,Não,Não,Sim,Não
1716653,Sim,Não,Sim,Não
1716703,-,-,-,-
1717008,Não,Não,Sim,Não
1717206,-,-,-,-
1717503,-,-,-,-
1717800,-,-,-,-
1717909,Não,Não,Sim,Não
1718006,-,-,-,-
1718204,Não,Não,Sim,Não
1718303,Não,Não,Sim,Não
1718402,-,-,-,-
1718451,-,-,-,-
1718501,-,-,-,-
1718550,Não,Não,Sim,Não
1718659,-,-,-,-
1718709,-,-,-,-
1718758,-,-,-,-
1718808,-,-,-,-
1718840,Não,Não,Sim,Não
1718865,Não,Não,Sim,Não
1718881,Não,Não,Sim,Não
1718899,Não,Não,Sim,Não
1718907,Não,Não,Sim,Não
1719004,-,-,-,-
1720002,-,-,-,-
1720101,Não,Não,Sim,Não
1720150,-,-,-,-
1720200,Não,Não,Não,Sim
1720259,Não,Não,Sim,Não
1720309,Não,Não,Sim,Não
1720499,Não,Não,Sim,Sim
1720655,Não,Não,Sim,Não
1720804,Não,Não,Sim,Não
1720853,-,-,-,-
1720903,-,-,-,-
1720937,-,-,-,-
1720978,Não,Não,Sim,Sim
1721000,Sim,Não,Sim,Sim
1721109,-,-,-,-
1721208,Não,Não,Sim,Sim
1721257,-,-,-,-
1721307,-,-,-,-
1722081,Não,Não,Sim,Não
1722107,Não,Não,Sim,Não
2100055,Não,Não,Sim,Sim
2100105,-,-,-,-
2100154,Não,Não,Sim,Não
2100204,-,-,-,-
2100303,Sim,Não,Não,Não
2100402,-,-,-,-
2100436,-,-,-,-
2100477,-,-,-,-
2100501,Sim,Não,Sim,Não
2100550,Não,Não,Sim,Não
2100600,Não,Não,Sim,Não
2100709,Não,Não,Sim,Não
2100808,Não,Não,Sim,Sim
2100832,Não,Não,Sim,Não
2100873,Não,Sim,Não,Não
2100907,Não,Não,Não,Sim
2100956,Não,Não,Sim,Não
2101004,Não,Não,Sim,Não
2101103,Sim,Não,Não,Não
2101202,Sim,Sim,Sim,Não
2101251,Sim,Não,Não,Não
2101301,Não,Não,Sim,Não
2101350,-,-,-,-
2101400,Não,Não,Sim,Não
2101509,-,-,-,-
2101608,Não,Não,Sim,Não
2101707,-,-,-,-
2101731,Não,Não,Sim,Não
2101772,Não,Não,Sim,Não
2101806,-,-,-,-
2101905,Não,Não,Sim,Sim
2101939,-,-,-,-
2101970,Não,Não,Sim,Não
2102002,-,-,-,-
2102036,-,-,-,-
2102077,Sim,Não,Sim,Não
2102101,-,-,-,-
2102150,-,-,-,-
2102200,Não,Não,Sim,Sim
2102309,Não,Não,Sim,Não
2102325,Sim,Não,Sim,Sim
2102358,Não,Não,Sim,Não
2102374,-,-,-,-
2102408,Não,Sim,Não,Não
2102507,Sim,Não,Não,Não
2102556,Não,Não,Sim,Não
2102606,Não,Sim,Sim,Não
2102705,Sim,Sim,Sim,Não
2102754,Sim,Sim,Sim,Sim
2102804,Não,Não,Sim,Não
2102903,Sim,Sim,Sim,Não
2103000,Sim,Não,Sim,Sim
2103109,-,-,-,-
2103125,Sim,Sim,Sim,Não
2103158,-,-,-,-
2103174,Não,Não,Não,Sim
2103208,Não,Não,Não,Sim
2103257,-,-,-,-
2103307,Sim,Não,Sim,Não
2103406,Não,Não,Sim,Não
2103505,Não,Não,Sim,Não
2103554,Não,Não,Sim,Sim
2103604,Sim,Não,Sim,Sim
2103703,Não,Não,Sim,Não
2103752,-,-,-,-
2103802,-,-,-,-
2103901,Não,Sim,Sim,Não
2104008,Não,Não,Sim,Não
2104057,Não,Não,Sim,Não
2104073,Não,Não,Sim,Sim
2104081,-,-,-,-
2104099,Não,Não,Sim,Não
2104107,Sim,Não,Não,Não
2104206,-,-,-,-
2104305,Sim,Não,Sim,Não
2104404,-,-,-,-
2104503,Não,Não,Sim,Não
2104552,Não,Não,Sim,Não
2104602,Não,Não,Sim,Não
2104628,-,-,-,-
2104651,-,-,-,-
2104677,Sim,Não,Não,Não
2104701,-,-,-,-
2104800,Não,Não,Sim,Sim
2104909,Sim,Não,Sim,Não
2105005,-,-,-,-
2105104,-,-,-,-
2105153,Sim,Sim,Sim,Não
2105203,-,-,-,-
2105302,Não,Não,Sim,Sim
2105351,-,-,-,-
2105401,Sim,Não,Sim,Não
2105427,Não,Sim,Sim,Não
2105450,-,-,-,-
2105476,Não,Não,Sim,Não
2105500,Não,Não,Sim,Sim
2105609,Não,Sim,Não,Não
2105658,Não,Não,Não,Sim
2105708,Não,Não,Sim,Não
2105807,-,-,-,-
2105906,Não,Não,Sim,Não
2105922,-,-,-,-
2105948,-,-,-,-
2105963,Sim,Sim,Sim,Não
2105989,-,-,-,-
2106003,-,-,-,-
2106102,Não,Não,Sim,Não
2106201,Não,Não,Sim,Não
2106300,-,-,-,-
2106326,-,-,-,-
2106359,-,-,-,-
2106375,-,-,-,-
2106409,Não,Não,Sim,Não
2106508,-,-,-,-
2106607,Não,Não,Sim,Sim
2106631,Não,Sim,Não,Não
2106672,Não,Não,Não,Sim
2106706,-,-,-,-
2106755,Não,Não,Sim,Sim
2106805,Não,Não,Sim,Não
2106904,Não,Não,Sim,Não
2107001,Não,Não,Sim,Não
2107100,Sim,Não,Não,Não
2107209,-,-,-,-
2107258,-,-,-,-
2107308,-,-,-,-
2107357,Sim,Não,Sim,Não
2107407,-,-,-,-
2107456,-,-,-,-
2107506,Sim,Não,Não,Sim
2107605,Não,Não,Sim,Não
2107704,Não,Não,Sim,Não
2107803,Sim,Não,Sim,Sim
2107902,-,-,-,-
2108009,-,-,-,-
2108058,Não,Não,Sim,Não
2108108,Sim,Sim,Sim,Não
2108207,Sim,Não,Sim,Não
2108256,-,-,-,-
2108306,Sim,Não,Sim,Não
2108405,-,-,-,-
2108454,Não,Não,Sim,Não
2108504,Sim,Não,Sim,Não
2108603,Não,Não,Sim,Não
2108702,-,-,-,-
2108801,Não,Não,Sim,Não
2108900,Não,Sim,Sim,Não
2109007,-,-,-,-
2109056,Sim,Não,Não,Não
2109106,Não,Não,Sim,Não
2109205,-,-,-,-
2109239,-,-,-,-
2109270,-,-,-,-
2109304,Sim,Não,Sim,Não
2109403,-,-,-,-
2109452,Sim,Sim,Sim,Não
2109502,Não,Não,Sim,Não
2109551,-,-,-,-
2109601,Não,Não,Não,Sim
2109700,-,-,-,-
2109759,Não,Sim,Não,Não
2109809,Sim,Não,Não,Não
2109908,Sim,Sim,Sim,Sim
2110005,Não,Não,Sim,Sim
2110039,Não,Não,Sim,Sim
2110104,Sim,Sim,Sim,Sim
2110203,Sim,Não,Não,Não
2110237,-,-,-,-
2110278,-,-,-,-
2110302,-,-,-,-
2110401,Não,Sim,Não,Não
2110500,Não,Não,Sim,Não
2110609,Não,Não,Sim,Não
2110658,-,-,-,-
2110708,Sim,Não,Sim,Sim
2110807,Não,Não,Sim,Não
2110856,Não,Não,Sim,Não
2110906,-,-,-,-
2111003,Não,Não,Sim,Não
2111029,-,-,-,-
2111052,Não,Não,Sim,Não
2111078,-,-,-,-
2111102,Não,Não,Sim,Não
2111201,Sim,Sim,Sim,Não
2111250,-,-,-,-
2111300,Sim,Sim,Sim,Sim
2111409,-,-,-,-
2111508,Não,Não,Sim,Sim
2111532,-,-,-,-
2111573,Não,Não,Sim,Não
2111607,Não,Não,Sim,Não
2111631,-,-,-,-
2111672,-,-,-,-
2111706,-,-,-,-
2111722,Não,Não,Sim,Não
2111748,Não,Não,Sim,Não
2111763,Não,Não,Sim,Não
2111789,Não,Não,Sim,Não
2111805,-,-,-,-
2111904,Não,Não,Sim,Não
2111953,Não,Não,Não,Sim
2112001,Não,Não,Sim,Não
2112100,Não,Não,Sim,Não
2112209,Sim,Não,Sim,Sim
2112233,-,-,-,-
2112274,Não,Não,Sim,Não
2112308,-,-,-,-
2112407,Não,Não,Sim,Não
2112456,Não,Não,Sim,Não
2112506,Não,Não,Sim,Sim
2112605,Não,Não,Não,Sim
2112704,Não,Não,Sim,Não
2112803,Sim,Sim,Sim,Não
2112852,Não,Não,Sim,Não
2112902,Sim,Sim,Não,Sim
2113009,-,-,-,-
2114007,Não,Não,Sim,Sim
2200053,-,-,-,-
2200103,-,-,-,-
2200202,Não,Não,Sim,Não
2200251,Não,Não,Sim,Não
2200277,-,-,-,-
2200301,Sim,Não,Não,Não
2200400,Não,Não,Sim,Não
2200459,-,-,-,-
2200509,Não,Não,Sim,Não
2200608,Sim,Não,Não,Não
2200707,Não,Não,Sim,Não
2200806,Não,Não,Sim,Não
2200905,-,-,-,-
2200954,-,-,-,-
2201002,Não,Não,Sim,Não
2201051,-,-,-,-
2201101,-,-,-,-
2201150,Não,Não,Sim,Não
2201176,-,-,-,-
2201200,Sim,Não,Não,Não
2201309,Não,Não,Sim,Sim
2201408,-,-,-,-
2201507,Sim,Não,Não,Não
2201556,-,-,-,-
2201572,-,-,-,-
2201606,-,-,-,-
2201705,Não,Não,Sim,Não
2201739,-,-,-,-
2201770,-,-,-,-
2201804,-,-,-,-
2201903,-,-,-,-
2201919,-,-,-,-
2201929,-,-,-,-
2201945,-,-,-,-
2201960,-,-,-,-
2201988,-,-,-,-
2202000,Não,Não,Não,Sim
2202026,-,-,-,-
2202059,-,-,-,-
2202075,-,-,-,-
2202083,-,-,-,-
2202091,Sim,Não,Não,Não
2202109,-,-,-,-
2202117,-,-,-,-
2202133,-,-,-,-
2202174,-,-,-,-
2202208,-,-,-,-
2202251,-,-,-,-
2202307,Não,Não,Não,Sim
2202406,Não,Não,Sim,Não
2202455,-,-,-,-
2202505,-,-,-,-
2202539,-,-,-,-
2202554,-,-,-,-
2202604,Não,Não,Sim,Não
2202653,-,-,-,-
2202703,-,-,-,-
2202711,-,-,-,-
2202729,-,-,-,-
2202737,Sim,Não,Sim,Sim
2202752,Não,Não,Sim,Não
2202778,-,-,-,-
2202802,-,-,-,-
2202851,-,-,-,-
2202901,Não,Não,Sim,Sim
2203008,-,-,-,-
2203107,Não,Não,Sim,Não
2203206,Não,Não,Sim,Não
2203230,Não,Não,Sim,Não
2203255,-,-,-,-
2203271,-,-,-,-
2203305,Não,Não,Sim,Sim
2203354,Não,Não,Sim,Não
2203404,-,-,-,-
2203420,-,-,-,-
2203453,-,-,-,-
2203503,-,-,-,-
2203602,-,-,-,-
2203701,-,-,-,-
2203750,-,-,-,-
2203800,Não,Não,Sim,Não
2203859,-,-,-,-
2203909,Não,Não,Sim,Não
2204006,-,-,-,-
2204105,-,-,-,-
2204154,-,-,-,-
2204204,-,-,-,-
2204303,-,-,-,-
2204352,-,-,-,-
2204402,Não,Não,Sim,Não
2204501,Não,Não,Sim,Sim
2204550,-,-,-,-
2204600,-,-,-,-
2204659,Não,Não,Sim,Não
2204709,-,-,-,-
2204808,Não,Não,Sim,Sim
2204907,-,-,-,-
2205003,-,-,-,-
2205102,-,-,-,-
2205151,-,-,-,-
2205201,Não,Não,Sim,Não
2205250,-,-,-,-
2205276,-,-,-,-
2205300,-,-,-,-
2205359,-,-,-,-
2205409,-,-,-,-
2205458,-,-,-,-
2205508,Sim,Não,Não,Não
2205516,-,-,-,-
2205524,-,-,-,-
2205532,-,-,-,-
2205540,-,-,-,-
2205557,-,-,-,-
2205565,Não,Não,Sim,Não
2205573,-,-,-,-
2205581,Não,Não,Não,Sim
2205599,Não,Não,Sim,Não
2205607,Não,Não,Sim,Não
2205706,Sim,Sim,Sim,Não
2205805,Sim,Não,Sim,Não
2205854,Sim,Não,Sim,Não
2205904,Sim,Não,Não,Não
2205953,-,-,-,-
2206001,-,-,-,-
2206050,-,-,-,-
2206100,-,-,-,-
2206209,-,-,-,-
2206308,-,-,-,-
2206357,-,-,-,-
2206407,-,-,-,-
2206506,-,-,-,-
2206605,-,-,-,-
2206654,-,-,-,-
2206670,-,-,-,-
2206696,-,-,-,-
2206704,-,-,-,-
2206720,Não,Não,Sim,Sim
2206753,-,-,-,-
2206803,Sim,Não,Sim,Sim
2206902,-,-,-,-
2206951,-,-,-,-
2207009,Não,Não,Sim,Não
2207108,-,-,-,-
2207207,-,-,-,-
2207306,-,-,-,-
2207355,-,-,-,-
2207405,-,-,-,-
2207504,Não,Não,Sim,Sim
2207553,-,-,-,-
2207603,Não,Não,Sim,Não
2207702,Não,Não,Sim,Sim
2207751,-,-,-,-
2207777,-,-,-,-
2207793,-,-,-,-
2207801,Não,Não,Sim,Não
2207850,-,-,-,-
2207900,Sim,Sim,Não,Não
2207934,-,-,-,-
2207959,-,-,-,-
2208007,Sim,Sim,Sim,Não
2208106,-,-,-,-
2208205,-,-,-,-
2208304,-,-,-,-
2208403,Sim,Não,Sim,Sim
2208502,-,-,-,-
2208551,-,-,-,-
2208601,Não,Não,Sim,Não
2208650,-,-,-,-
2208700,-,-,-,-
2208809,Sim,Não,Não,Não
2208858,-,-,-,-
2208874,-,-,-,-
2208908,Não,Sim,Não,Não
2209005,-,-,-,-
2209104,-,-,-,-
2209153,-,-,-,-
2209203,Não,Não,Sim,Não
2209302,-,-,-,-
2209351,-,-,-,-
2209377,-,-,-,-
2209401,-,-,-,-
2209450,-,-,-,-
2209500,-,-,-,-
2209559,-,-,-,-
2209609,-,-,-,-
2209658,-,-,-,-
2209708,-,-,-,-
2209757,-,-,-,-
2209807,-,-,-,-
2209856,-,-,-,-
2209872,-,-,-,-
2209906,-,-,-,-
2209955,-,-,-,-
2209971,-,-,-,-
2210003,Não,Não,Sim,Não
2210052,-,-,-,-
2210102,-,-,-,-
2210201,-,-,-,-
2210300,-,-,-,-
2210359,Não,Não,Sim,Não
2210375,-,-,-,-
2210383,-,-,-,-
2210391,-,-,-,-
2210409,Sim,Não,Sim,Sim
2210508,Não,Não,Sim,Não
2210607,Não,Não,Sim,Não
2210623,Não,Não,Sim,Não
2210631,-,-,-,-
2210656,-,-,-,-
2210706,Sim,Não,Não,Não
2210805,-,-,-,-
2210904,-,-,-,-
2210938,-,-,-,-
2210953,-,-,-,-
2210979,Não,Não,Sim,Não
2211001,Sim,Não,Sim,Sim
2211100,-,-,-,-
2211209,-,-,-,-
2211308,Não,Não,Sim,Não
2211357,-,-,-,-
2211407,-,-,-,-
2211506,-,-,-,-
2211605,-,-,-,-
2211704,-,-,-,-
2300101,-,-,-,-
2300150,Sim,Sim,Não,Não
2300200,-,-,-,-
2300309,-,-,-,-
2300408,-,-,-,-
2300507,-,-,-,-
2300606,Não,Não,Não,Sim
2300705,Não,Não,Sim,Não
2300754,Sim,Não,Sim,Não
2300804,-,-,-,-
2300903,Sim,Sim,Sim,Não
2301000,Não,Não,Não,Sim
2301109,Não,Sim,Sim,Sim
2301208,Sim,Sim,Não,Não
