CodMun,Barco,Metro,Mototx,Taxi,Trem,Van,Aviao
1303007,Sim,Não,Sim,Não,Não,Não,Não
1303106,Sim,Não,Sim,Não,Não,Sim,Não
1303205,Sim,Não,Sim,Sim,Não,Não,Não
1303304,Sim,Não,Sim,Não,Não,Sim,Sim
1303403,Sim,Não,Sim,Não,Não,Sim,Não
1303502,Sim,Não,Não,Não,Não,Não,Sim
1303536,-,-,-,-,-,-,-
1303569,Sim,Não,Sim,Não,Não,Sim,Não
1303601,Sim,Não,Sim,Não,Não,Não,Não
1303700,Sim,Não,Sim,Não,Não,Não,Não
1303809,Sim,Não,Sim,Não,Não,Sim,Sim
1303908,Sim,Não,Sim,Não,Não,Não,Não
1303957,Sim,Não,Sim,Sim,Não,Não,Não
1304005,Não,Não,Não,Não,Não,Sim,Não
1304062,Sim,Não,Sim,Não,Não,Sim,Sim
1304104,Sim,Não,Sim,Não,Não,Não,Sim
1304203,Sim,Não,Sim,Sim,Não,Sim,Sim
1304237,Sim,Não,Sim,Não,Não,Não,Não
1304260,Sim,Não,Sim,Sim,Não,Não,Não
1304302,Sim,Não,Sim,Sim,Não,Não,Não
1304401,Sim,Não,Sim,Não,Não,Não,Não
1400027,Não,Não,Não,Sim,Não,Não,Não
1400050,Não,Não,Não,Sim,Não,Não,Não
1400100,Não,Não,Não,Sim,Não,Sim,Não
1400159,Não,Não,Não,Sim,Não,Sim,Não
1400175,Não,Não,Não,Não,Não,Sim,Não
1400209,Não,Não,Sim,Não,Não,Não,Não
1400233,-,-,-,-,-,-,-
1400282,-,-,-,-,-,-,-
1400308,Não,Não,Não,Não,Não,Sim,Não
1400407,Não,Não,Não,Sim,Não,Não,Não
1400456,Não,Não,Sim,Sim,Não,Não,Não
1400472,Sim,Não,Sim,Sim,Não,Sim,Não
1400506,-,-,-,-,-,-,-
1400605,Não,Não,Não,Sim,Não,Sim,Não
1400704,-,-,-,-,-,-,-
1500107,Sim,Não,Sim,Sim,Não,Sim,Não
1500131,Não,Não,Sim,Sim,Não,Sim,Não
1500206,Sim,Não,Sim,Sim,Não,Sim,Não
1500305,Sim,Não,Não,Não,Não,Não,Não
1500347,Não,Não,Sim,Não,Não,Sim,Não
1500404,Sim,Não,Sim,Sim,Não,Não,Não
1500503,Sim,Não,Sim,Sim,Não,Sim,Sim
1500602,Sim,Não,Sim,Sim,Não,Sim,Sim
1500701,Sim,Não,Sim,Não,Não,Não,Não
1500800,Não,Não,Sim,Sim,Não,Não,Não
1500859,Não,Não,Sim,Sim,Não,Sim,Não
1500909,Sim,Não,Sim,Sim,Não,Não,Não
1500958,Sim,Não,Sim,Sim,Não,Não,Não
1501006,Sim,Não,Não,Não,Não,Não,Não
1501105,Sim,Não,Sim,Não,Não,Não,Não
1501204,Sim,Não,Sim,Sim,Não,Sim,Não
1501253,Não,Não,Sim,Não,Não,Não,Não
1501303,Sim,Não,Sim,Sim,Não,Sim,Não
1501402,Sim,Não,Sim,Sim,Não,Sim,Não
1501451,Não,Não,Sim,Não,Não,Sim,Não
1501501,Não,Não,Sim,Sim,Não,Sim,Não
1501576,Não,Não,Sim,Sim,Não,Não,Não
1501600,Não,Não,Sim,Sim,Não,Sim,Não
1501709,Não,Não,Sim,Sim,Não,Sim,Não
1501725,Não,Não,Sim,Sim,Não,Sim,Não
1501758,Sim,Não,Sim,Sim,Não,Não,Não
1501782,Sim,Não,Sim,Sim,Não,Sim,Não
1501808,Sim,Não,Sim,Sim,Não,Não,Sim
1501907,Sim,Não,Não,Não,Não,Sim,Não
1501956,Sim,Não,Sim,Sim,Não,Sim,Não
1502004,Sim,Não,Sim,Não,Não,Sim,Não
1502103,Sim,Não,Sim,Sim,Não,Sim,Não
1502152,Não,Não,Sim,Sim,Não,Sim,Não
1502202,Não,Não,Sim,Sim,Não,Sim,Não
1502301,Não,Não,Sim,Sim,Não,Sim,Não
1502400,Não,Não,Sim,Sim,Não,Sim,Não
1502509,Sim,Não,Sim,Não,Não,Não,Não
1502608,Sim,Não,Sim,Sim,Não,Sim,Não
1502707,Não,Não,Sim,Sim,Não,Sim,Não
1502756,Sim,Não,Sim,Sim,Não,Sim,Não
1502764,Não,Não,Sim,Não,Não,Sim,Não
1502772,Não,Não,Sim,Sim,Não,Sim,Não
1502806,Sim,Não,Sim,Não,Não,Não,Não
1502855,Sim,Não,Sim,Sim,Não,Não,Não
1502905,Não,Não,Sim,Sim,Não,Sim,Não
1502939,Não,Não,Sim,Sim,Não,Sim,Não
1502954,Não,Não,Sim,Não,Não,Não,Não
1503002,Sim,Não,Sim,Não,Não,Não,Não
1503044,Não,Não,Sim,Não,Não,Sim,Não
1503077,Não,Não,Sim,Sim,Não,Sim,Não
1503093,Sim,Não,Sim,Sim,Não,Sim,Não
1503101,Sim,Não,Sim,Sim,Não,Não,Sim
1503200,Não,Não,Sim,Sim,Não,Sim,Não
1503309,Sim,Não,Sim,Sim,Não,Sim,Não
1503408,Não,Não,Sim,Sim,Não,Não,Não
1503457,Não,Não,Sim,Sim,Não,Sim,Não
1503507,Não,Não,Sim,Sim,Não,Sim,Não
1503606,Sim,Não,Sim,Sim,Não,Sim,Sim
1503705,Sim,Não,Sim,Sim,Não,Sim,Não
1503754,Sim,Não,Sim,Sim,Não,Sim,Não
1503804,Não,Não,Sim,Sim,Não,Sim,Não
1503903,Sim,Não,Sim,Sim,Não,Sim,Sim
1504000,Sim,Não,Sim,Não,Não,Sim,Não
1504059,Não,Não,Sim,Sim,Não,Sim,Não
1504109,Sim,Não,Sim,Não,Não,Sim,Não
1504208,Não,Não,Sim,Sim,Não,Sim,Não
1504307,Sim,Não,Sim,Sim,Não,Sim,Não
1504406,Não,Não,Sim,Sim,Não,Sim,Não
1504422,Não,Não,Sim,Sim,Não,Não,Não
1504455,Não,Não,Sim,Sim,Não,Não,Sim
1504505,Sim,Não,Sim,Não,Não,Não,Não
1504604,Sim,Não,Sim,Sim,Não,Sim,Não
1504703,Sim,Não,Sim,Sim,Não,Sim,Não
1504752,Não,Não,Sim,Não,Não,Não,Não
1504802,Sim,Não,Sim,Sim,Não,Não,Não
1504901,Sim,Não,Sim,Não,Não,Não,Não
1504950,Não,Não,Sim,Sim,Não,Sim,Não
1504976,Não,Não,Sim,Sim,Não,Não,Não
1505007,Não,Não,Sim,Sim,Não,Sim,Não
1505031,Não,Não,Sim,Sim,Não,Não,Não
1505064,Não,Não,Sim,Sim,Não,Sim,Não
1505106,Sim,Não,Sim,Sim,Não,Não,Sim
1505205,Sim,Não,Sim,Não,Não,Não,Não
1505304,Sim,Não,Sim,Sim,Não,Sim,Não
1505403,Não,Não,Sim,Sim,Não,Sim,Não
1505437,Não,Não,Sim,Sim,Não,Sim,Sim
1505486,Não,Não,Sim,Sim,Não,Sim,Não
1505494,Não,Não,Sim,Não,Não,Sim,Não
1505502,Não,Não,Sim,Sim,Não,Sim,Não
1505536,Não,Não,Sim,Sim,Não,Não,Não
1505551,Não,Não,Sim,Não,Não,Sim,Não
1505601,Não,Não,Sim,Sim,Não,Sim,Não
1505635,Sim,Não,Sim,Não,Não,Sim,Não
1505650,Não,Não,Sim,Sim,Não,Não,Não
1505700,Sim,Não,Não,Não,Não,Não,Não
1505809,Sim,Não,Sim,Sim,Não,Não,Sim
1505908,Sim,Não,Sim,Sim,Não,Não,Sim
1506005,Sim,Não,Sim,Sim,Não,Não,Não
1506104,Não,Não,Sim,Sim,Não,Sim,Não
1506112,Sim,Não,Sim,Sim,Não,Sim,Não
1506138,Não,Não,Sim,Sim,Não,Sim,Não
1506161,Não,Não,Sim,Sim,Não,Sim,Não
1506187,Não,Não,Sim,Sim,Não,Sim,Não
1506195,Não,Não,Sim,Sim,Não,Sim,Não
1506203,Sim,Não,Sim,Sim,Não,Sim,Não
1506302,Sim,Não,Sim,Sim,Não,Sim,Não
1506351,-,-,-,-,-,-,-
1506401,Sim,Não,Sim,Não,Não,Não,Não
1506500,Sim,Não,Sim,Sim,Não,Sim,Não
1506559,Não,Não,Sim,Sim,Não,Sim,Não
1506583,Não,Não,Não,Não,Não,Sim,Não
1506609,Não,Não,Sim,Sim,Não,Sim,Não
1506708,Não,Não,Sim,Sim,Não,Sim,Não
1506807,Sim,Não,Sim,Sim,Não,Sim,Sim
1506906,Não,Não,Sim,Não,Não,Sim,Não
1507003,Não,Não,Sim,Sim,Não,Sim,Não
1507102,Sim,Não,Sim,Sim,Não,Sim,Não
1507151,Não,Não,Sim,Sim,Não,Sim,Não
1507201,Sim,Não,Sim,Sim,Não,Não,Não
1507300,Sim,Não,Sim,Sim,Não,Sim,Sim
1507409,Não,Não,Sim,Sim,Não,Sim,Não
1507458,Sim,Não,Sim,Sim,Não,Sim,Não
1507466,Sim,Não,Sim,Sim,Não,Não,Não
1507474,Não,Não,Sim,Sim,Não,Sim,Não
1507508,Sim,Não,Sim,Sim,Não,Sim,Não
1507607,Sim,Não,Sim,Sim,Não,Sim,Não
1507706,Sim,Não,Sim,Não,Não,Não,Não
1507755,Não,Não,Sim,Sim,Não,Não,Não
1507805,Sim,Não,Sim,Sim,Não,Não,Não
1507904,Sim,Não,Sim,Não,Não,Sim,Não
1507953,Não,Não,Sim,Sim,Não,Sim,Não
1507961,Não,Não,Sim,Sim,Não,Não,Não
1507979,Sim,Não,Sim,Sim,Não,Sim,Não
1508001,Sim,Não,Sim,Sim,Não,Sim,Não
1508035,Sim,Não,Sim,Sim,Não,Sim,Não
1508050,Não,Não,Sim,Sim,Não,Não,Não
1508084,Não,Não,Sim,Sim,Não,Sim,Sim
1508100,Sim,Não,Sim,Sim,Não,Sim,Não
1508126,Não,Não,Sim,Sim,Não,Sim,Não
1508159,Não,Não,Sim,Sim,Não,Sim,Não
1508209,Não,Não,Sim,Sim,Não,Sim,Não
1508308,Sim,Não,Sim,Sim,Não,Não,Não
1508357,Sim,Não,Sim,Sim,Não,Não,Não
1508407,Sim,Não,Sim,Sim,Não,Sim,Não
1600055,Não,Não,Sim,Sim,Não,Sim,Não
1600105,Sim,Não,Não,Não,Não,Sim,Não
1600154,-,-,-,-,-,-,-
1600204,Não,Não,Não,Não,Não,Sim,Não
1600212,Sim,Não,Não,Não,Não,Sim,Não
1600238,Sim,Não,Sim,Não,Não,Sim,Não
1600253,Sim,Não,Não,Não,Não,Sim,Não
1600279,Sim,Não,Sim,Sim,Não,Sim,Sim
1600303,Sim,Não,Sim,Sim,Não,Sim,Sim
1600402,Sim,Não,Sim,Sim,Não,Sim,Não
1600501,Sim,Não,Sim,Não,Não,Sim,Sim
1600535,Não,Não,Sim,Sim,Não,Sim,Não
1600550,Sim,Não,Não,Não,Não,Sim,Não
1600600,Sim,Não,Sim,Sim,Não,Sim,Não
1600709,Não,Não,Não,Não,Não,Sim,Não
1600808,Sim,Não,Sim,Sim,Não,Sim,Não
1700251,Não,Não,Não,Não,Não,Sim,Não
1700301,Não,Não,Sim,Sim,Não,Sim,Não
1700350,-,-,-,-,-,-,-
1700400,Não,Não,Não,Não,Não,Sim,Não
1700707,-,-,-,-,-,-,-
1701002,Não,Não,Sim,Sim,Não,Sim,Não
1701051,Não,Não,Sim,Sim,Não,Sim,Não
1701101,Não,Não,Sim,Sim,Não,Sim,Não
1701309,Não,Não,Não,Não,Não,Sim,Não
1701903,Sim,Não,Sim,Sim,Não,Sim,Não
1702000,-,-,-,-,-,-,-
1702109,Não,Não,Sim,Sim,Não,Não,Não
1702158,Sim,Não,Não,Não,Não,Não,Não
1702208,Sim,Não,Sim,Sim,Não,Sim,Não
1702307,-,-,-,-,-,-,-
1702406,Não,Não,Sim,Sim,Não,Sim,Não
1702554,Não,Não,Sim,Sim,Não,Sim,Não
1702703,-,-,-,-,-,-,-
1702901,Não,Não,Sim,Sim,Não,Sim,Não
1703008,Sim,Não,Não,Não,Não,Sim,Não
1703057,Sim,Não,Não,Não,Não,Sim,Não
1703073,Sim,Não,Não,Não,Não,Sim,Não
1703107,Não,Não,Sim,Não,Não,Sim,Não
1703206,-,-,-,-,-,-,-
1703305,Não,Não,Sim,Sim,Não,Sim,Não
1703602,-,-,-,-,-,-,-
1703701,Sim,Não,Não,Não,Não,Sim,Não
1703800,Não,Não,Não,Não,Não,Sim,Não
1703826,Não,Não,Sim,Sim,Não,Sim,Não
1703842,Não,Não,Não,Não,Não,Sim,Não
1703867,-,-,-,-,-,-,-
1703883,Não,Não,Não,Não,Não,Sim,Não
1703891,Não,Não,Não,Não,Não,Sim,Não
1703909,-,-,-,-,-,-,-
1704105,-,-,-,-,-,-,-
1704600,-,-,-,-,-,-,-
1705102,Não,Não,Sim,Sim,Não,Sim,Não
1705508,Não,Não,Sim,Sim,Não,Sim,Não
1705557,Não,Não,Sim,Sim,Não,Sim,Não
1705607,Não,Não,Sim,Não,Não,Não,Não
1706001,Não,Não,Sim,Sim,Não,Não,Não
1706100,Não,Não,Não,Não,Não,Sim,Não
1706258,-,-,-,-,-,-,-
1706506,Não,Não,Sim,Sim,Não,Sim,Não
1707009,Não,Não,Sim,Sim,Não,Sim,Não
1707108,Não,Não,Sim,Não,Não,Não,Não
1707207,Não,Não,Sim,Sim,Não,Sim,Não
1707306,-,-,-,-,-,-,-
1707405,-,-,-,-,-,-,-
1707553,Não,Não,Sim,Sim,Não,Sim,Não
1707652,-,-,-,-,-,-,-
1707702,Sim,Não,Sim,Sim,Não,Não,Não
1708205,-,-,-,-,-,-,-
1708254,Não,Não,Não,Sim,Não,Sim,Não
1708304,Não,Não,Não,Sim,Não,Não,Não
1709005,Não,Não,Sim,Sim,Não,Sim,Não
1709302,Não,Não,Sim,Sim,Não,Sim,Não
1709500,Não,Não,Sim,Sim,Não,Não,Não
1709807,-,-,-,-,-,-,-
1710508,Não,Não,Não,Sim,Não,Não,Não
1710706,Não,Não,Sim,Sim,Não,Sim,Não
1710904,Sim,Não,Não,Não,Não,Não,Não
1711100,Não,Não,Não,Sim,Não,Não,Não
1711506,Não,Não,Não,Sim,Não,Não,Não
1711803,-,-,-,-,-,-,-
1711902,Não,Não,Sim,Sim,Não,Sim,Não
1711951,Não,Não,Não,Não,Não,Sim,Não
1712009,-,-,-,-,-,-,-
1712157,-,-,-,-,-,-,-
1712405,Não,Não,Não,Não,Não,Sim,Não
1712454,Não,Não,Sim,Sim,Não,Sim,Não
1712504,-,-,-,-,-,-,-
1712702,Não,Não,Não,Não,Não,Sim,Não
1712801,Sim,Não,Sim,Não,Não,Sim,Não
1713205,Sim,Não,Sim,Sim,Não,Não,Não
1713304,Não,Não,Sim,Sim,Não,Sim,Não
1713601,-,-,-,-,-,-,-
1713700,-,-,-,-,-,-,-
1713809,Não,Não,Sim,Sim,Não,Sim,Não
1713957,Não,Não,Sim,Não,Não,Sim,Não
1714203,Não,Não,Sim,Sim,Não,Sim,Não
1714302,Não,Não,Sim,Sim,Não,Sim,Não
1714880,Não,Não,Sim,Sim,Não,Sim,Não
1715002,Não,Não,Não,Sim,Não,Não,Não
1715101,Não,Não,Não,Sim,Não,Sim,Não
1715150,-,-,-,-,-,-,-
1715259,-,-,-,-,-,-,-
1715507,Não,Não,Não,Sim,Não,Sim,Não
1715705,-,-,-,-,-,-,-
1715754,Não,Não,Não,Sim,Não,Sim,Não
1716109,Não,Não,Sim,Sim,Não,Sim,Não
1716208,-,-,-,-,-,-,-
1716307,-,-,-,-,-,-,-
1716505,Não,Não,Sim,Sim,Não,Sim,Não
1716604,Sim,Não,Não,Não,Não,Não,Não
1716653,Não,Não,Sim,Sim,Não,Não,Não
1716703,Não,Não,Sim,Sim,Não,Não,Não
1717008,Não,Não,Não,Não,Não,Sim,Não
1717206,Não,Não,Não,Não,Não,Sim,Não
1717503,Não,Não,Sim,Sim,Não,Não,Não
1717800,Não,Não,Sim,Não,Não,Sim,Não
1717909,Não,Não,Não,Não,Não,Sim,Não
1718006,Não,Não,Sim,Sim,Não,Sim,Não
1718204,Não,Não,Sim,Sim,Não,Sim,Não
1718303,Sim,Não,Sim,Sim,Não,Sim,Não
1718402,Não,Não,Não,Não,Não,Sim,Não
1718451,Não,Não,Sim,Não,Não,Não,Não
1718501,-,-,-,-,-,-,-
1718550,Não,Não,Sim,Sim,Não,Sim,Não
1718659,Não,Não,Não,Não,Não,Sim,Não
1718709,Não,Não,Não,Sim,Não,Não,Não
1718758,-,-,-,-,-,-,-
1718808,Sim,Não,Não,Não,Não,Não,Não
1718840,-,-,-,-,-,-,-
1718865,Sim,Não,Não,Não,Não,Não,Não
1718881,Não,Não,Não,Sim,Não,Sim,Não
1718899,-,-,-,-,-,-,-
1718907,-,-,-,-,-,-,-
1719004,Não,Não,Não,Não,Não,Sim,Não
1720002,Não,Não,Sim,Sim,Não,Sim,Não
1720101,Não,Não,Sim,Sim,Não,Sim,Não
1720150,Não,Não,Não,Não,Não,Sim,Não
1720200,Não,Não,Sim,Sim,Não,Sim,Não
1720259,-,-,-,-,-,-,-
1720309,Não,Não,Não,Não,Não,Sim,Não
1720499,-,-,-,-,-,-,-
1720655,Não,Não,Não,Não,Não,Sim,Não
1720804,Não,Não,Sim,Sim,Não,Sim,Não
1720853,-,-,-,-,-,-,-
1720903,Não,Não,Sim,Sim,Não,Sim,Não
1720937,-,-,-,-,-,-,-
1720978,Não,Não,Não,Não,Não,Sim,Não
1721000,Não,Não,Sim,Sim,Não,Sim,Sim
1721109,Sim,Não,Sim,Não,Não,Não,Não
1721208,Sim,Não,Sim,Sim,Não,Sim,Não
1721257,-,-,-,-,-,-,-
1721307,Não,Não,Não,Não,Não,Sim,Não
1722081,Não,Não,Sim,Sim,Não,Sim,Não
1722107,Sim,Não,Sim,Sim,Não,Sim,Não
2100055,Não,Não,Sim,Sim,Sim,Sim,Não
2100105,Não,Não,Sim,Não,Não,Sim,Não
2100154,Sim,Não,Não,Sim,Não,Sim,Não
2100204,Sim,Não,Sim,Sim,Não,Não,Não
2100303,Não,Não,Sim,Sim,Não,Sim,Não
2100402,-,-,-,-,-,-,-
2100436,Não,Não,Sim,Sim,Não,Sim,Não
2100477,Sim,Não,Sim,Sim,Sim,Sim,Não
2100501,-,-,-,-,-,-,-
2100550,Não,Não,Sim,Sim,Não,Sim,Não
2100600,Não,Não,Sim,Sim,Não,Não,Não
2100709,Não,Não,Sim,Sim,Não,Sim,Não
2100808,Não,Não,Sim,Sim,Não,Sim,Não
2100832,Sim,Não,Sim,Não,Não,Sim,Não
2100873,Não,Não,Sim,Não,Não,Sim,Não
2100907,Sim,Não,Sim,Não,Não,Sim,Não
2100956,-,-,-,-,-,-,-
2101004,Não,Não,Sim,Sim,Não,Não,Não
2101103,-,-,-,-,-,-,-
2101202,Não,Não,Sim,Sim,Não,Sim,Não
2101251,Não,Não,Sim,Sim,Não,Sim,Não
2101301,Sim,Não,Sim,Sim,Não,Sim,Não
2101350,Sim,Não,Sim,Não,Não,Não,Não
2101400,Sim,Não,Sim,Sim,Não,Sim,Sim
2101509,Sim,Não,Sim,Sim,Não,Sim,Não
2101608,Sim,Não,Sim,Sim,Não,Sim,Não
2101707,Sim,Não,Sim,Sim,Não,Sim,Não
2101731,Não,Não,Sim,Não,Não,Sim,Não
2101772,Não,Não,Sim,Sim,Não,Sim,Não
2101806,Sim,Não,Não,Sim,Não,Sim,Não
2101905,Sim,Não,Sim,Sim,Não,Sim,Não
2101939,Não,Não,Não,Não,Não,Sim,Não
2101970,Não,Não,Sim,Sim,Não,Sim,Não
2102002,Não,Não,Sim,Sim,Não,Não,Não
2102036,Não,Não,Sim,Sim,Não,Não,Não
2102077,Não,Não,Sim,Sim,Não,Sim,Não
2102101,Não,Não,Sim,Sim,Não,Sim,Não
2102150,Não,Não,Sim,Não,Não,Sim,Não
2102200,Não,Não,Não,Sim,Não,Sim,Não
2102309,Não,Não,Sim,Sim,Não,Sim,Não
2102325,Não,Não,Sim,Sim,Não,Sim,Não
2102358,Não,Não,Sim,Sim,Não,Não,Não
2102374,Não,Não,Sim,Sim,Não,Não,Não
2102408,Sim,Não,Sim,Não,Não,Sim,Não
2102507,Sim,Não,Sim,Sim,Não,Sim,Não
2102556,Não,Não,Sim,Não,Não,Sim,Não
2102606,Sim,Não,Sim,Não,Não,Não,Não
2102705,Não,Não,Sim,Sim,Não,Sim,Não
2102754,Não,Não,Sim,Sim,Não,Sim,Não
2102804,Não,Não,Sim,Não,Não,Sim,Não
2102903,Sim,Não,Sim,Não,Não,Sim,Não
2103000,Não,Não,Sim,Sim,Não,Não,Não
2103109,Sim,Não,Sim,Sim,Não,Sim,Não
2103125,Não,Não,Sim,Sim,Não,Sim,Não
2103158,Não,Não,Sim,Sim,Não,Sim,Não
2103174,Não,Não,Sim,Sim,Não,Sim,Não
2103208,Não,Não,Sim,Sim,Não,Sim,Não
2103257,-,-,-,-,-,-,-
2103307,Não,Não,Sim,Sim,Não,Sim,Não
2103406,Não,Não,Sim,Sim,Não,Sim,Não
2103505,Não,Não,Sim,Sim,Não,Sim,Não
2103554,Não,Não,Sim,Sim,Não,Não,Não
2103604,Não,Não,Não,Sim,Não,Sim,Não
2103703,Sim,Não,Sim,Sim,Não,Não,Não
2103752,Não,Não,Sim,Sim,Não,Não,Não
2103802,Não,Não,Não,Sim,Não,Sim,Não
2103901,Não,Não,Sim,Não,Não,Sim,Não
2104008,Não,Não,Sim,Não,Não,Não,Não
2104057,Sim,Não,Sim,Sim,Não,Sim,Não
2104073,Não,Não,Sim,Não,Não,Não,Não
2104081,Não,Não,Não,Não,Não,Sim,Não
2104099,Não,Não,Não,Não,Não,Sim,Não
