CodMun,AtingidoPorSeca_4a,AtingidoPorAlagam_4a,AtingidoPorErosao_4a,AtingidoPorEnchente_4a,AtingidoPorEnxurrada_4a,AtingidoPorDeslizam_4a
1303908,Sim,Sim,Sim,Sim,Não,Sim
1303957,Sim,Não,Não,Sim,Não,Não
1304005,Não,Não,Não,Sim,Não,Não
1304062,Sim,Sim,Não,Sim,Não,Sim
1304104,Sim,Não,Não,Sim,Não,Não
1304203,Não,Sim,Sim,Sim,Sim,Sim
1304237,Não,Sim,Sim,Sim,Não,Sim
1304260,Sim,Sim,Não,Sim,Sim,Sim
1304302,Não,Não,Não,Não,Não,Não
1304401,Não,Sim,Sim,Sim,Não,Sim
1400027,Sim,Sim,Não,Sim,Não,Sim
1400050,Sim,Não,Não,Não,Não,Não
1400100,Sim,Sim,Não,Sim,Sim,Não
1400159,Não sabe,Sim,Não,Sim,Sim,Não
1400175,Sim,Não,Não,Não,Não,Não
1400209,Sim,Sim,Não,Não,Não,Não
1400233,Sim,Não,Não,Não,Não,Não
1400282,Sim,Não,Não,Não,Não,Não
1400308,Sim,Não,Não,Não,Não,Não
1400407,Sim,Sim,Sim,Não,Não,Não
1400456,Sim,Não,Não,Sim,Não,Não sabe
1400472,Sim,Não,Não,Sim,Não,Não
1400506,Sim,Não,Não,Não,Não,Não
1400605,Sim,Não,Não,Sim,Não,Não
1400704,Sim,Sim,Não,Sim,Sim,Não
1500107,Não,Não,Sim,Não,Não,Não
1500131,Não,Não,Não,Não,Não,Não
1500206,Sim,Sim,Não,Sim,Não,Não
1500305,Não,Sim,Sim,Sim,Não,Não
1500347,Não sabe,Não,Sim,Não,Não,Não
1500404,Sim,Sim,Não,Sim,Não sabe,Não
1500503,Não,Não sabe,Não,Sim,Não,Não
1500602,Não,Sim,Não sabe,Sim,Sim,Não
1500701,Não sabe,Não sabe,Não sabe,Não,Não sabe,Não
1500800,Não,Não,Não,Não,Não,Não
1500859,Não,Sim,Não,Sim,Não,Não
1500909,Não,Não,Não,Não,Não,Não
1500958,Não,Não,Não,Não,Não,Não
1501006,Sim,Sim,Não,Sim,Sim,Não
1501105,Não,Não,Não,Não,Não,Não
1501204,Não,Sim,Sim,Sim,Sim,Sim
1501253,Sim,Não,Não,Não,Não,Não
1501303,Não,Não,Sim,Não,Não,Sim
1501402,Não,Sim,Sim,Sim,Não,Não
1501451,Sim,Não,Não,Sim,Não,Não
1501501,Não,Não,Não,Não,Não,Não
1501576,Não,Não,Não,Não,Não,Não
1501600,Não,Não,Não,Não,Não,Não
1501709,Não sabe,Sim,Sim,Não,Não,Sim
1501725,Não,Não,Sim,Não,Não,Não
1501758,Sim,Não,Não,Não,Não,Não
1501782,Não,Não,Não,Não,Não,Não
1501808,Não,Sim,Sim,Sim,Sim,Não
1501907,Sim,Sim,Não,Sim,Não,Não
1501956,Sim,Não,Não,Não,Não,Não
1502004,Não sabe,Não sabe,Não sabe,Não sabe,Não sabe,Não sabe
1502103,Não,Sim,Não,Não,Não,Não
1502152,Sim,Não,Não,Não,Não,Não
1502202,Não,Não,Não,Sim,Sim,Não
1502301,Não,Sim,Não,Sim,Não,Não
1502400,Não,Não,Não,Não,Não,Não
1502509,Sim,Sim,Sim,Sim,Não,Não
1502608,Não,Não,Não,Não,Não,Não
1502707,Sim,Não,Não,Não,Sim,Não
1502756,Não,Não,Não sabe,Não sabe,Não sabe,Não
1502764,Não,Não,Não,Não,Não,Não
1502772,Não,Não,Não,Não,Não,Não
1502806,Sim,Não,Não,Não,Não,Sim
1502855,Não,Não,Não,Não,Não,Não
1502905,Não,Não,Não,Não,Não,Não
1502939,Sim,Sim,Sim,Não,Sim,Não
1502954,Não,Não,Não,Sim,Não,Não
1503002,Sim,Sim,Sim,Sim,Sim,Não
1503044,Não,Não,Não,Não,Não,Não
1503077,Não sabe,Não,Não,Não,Não,Não
1503093,Não,Não,Não sabe,Não,Não,Não
1503101,Não,Sim,Não,Sim,Não,Não
1503200,Não,Não,Não,Não,Não,Não
1503309,Não,Não,Sim,Não,Não,Não
1503408,Não,Não,Não,Não,Não,Não
1503457,Não,Sim,Não,Sim,Sim,Não
1503507,Sim,Sim,Não,Não,Não,Não
1503606,Sim,Sim,Sim,Sim,Não,Sim
1503705,Sim,Sim,Não,Não,Sim,Não
1503754,Sim,Não,Não,Sim,Não,Sim
1503804,Não,Sim,Não,Não,Sim,Não
1503903,Sim,Não,Não,Sim,Não,Sim
1504000,Não,Não,Não,Não,Não,Não
1504059,Não,Não,Sim,Não,Não,Não
1504109,Não,Não,Não,Não,Não,Não
1504208,Sim,Sim,Não,Sim,Sim,Sim
1504307,Não,Não,Sim,Sim,Não,Não
1504406,Não,Não sabe,Não sabe,Não,Não,Não
1504422,Não,Não,Não,Não,Não,Não
1504455,Sim,Sim,Não,Sim,Sim,Não
1504505,Não,Não,Não,Não,Não,Não
1504604,Não,Não,Não,Não,Não,Não
1504703,Não,Não,Não,Não,Não,Não
1504752,Sim,Não,Não,Não,Não,Não
1504802,Sim,Sim,Sim,Sim,Sim,Sim
1504901,Não sabe,Não sabe,Não sabe,Não sabe,Não sabe,Não sabe
1504950,Não,Sim,Sim,Não,Sim,Não
1504976,Não,Sim,Não,Sim,Sim,Sim
1505007,Não,Não,Não,Não,Não,Não
1505031,Não,Sim,Não,Sim,Sim,Não
1505064,Sim,Não,Sim,Não,Sim,Não
1505106,Não,Sim,Sim,Sim,Sim,Sim
1505205,Não,Não,Não,Não,Não,Não
1505304,Não,Não,Sim,Sim,Não,Sim
1505403,Não,Não,Não,Não,Não,Não
1505437,Sim,Não,Não,Não,Não,Não
1505486,Sim,Sim,Não,Sim,Não,Não
1505494,Não,Não,Não,Não,Não,Não
1505502,Sim,Sim,Sim,Sim,Sim,Não
1505536,Não,Sim,Não,Sim,Sim,Não
1505551,Sim,Não,Sim,Não,Não,Não
1505601,Não,Não,Não,Não,Não,Não
1505635,Sim,Não,Não,Não,Não,Não
1505650,Sim,Sim,Sim,Sim,Sim,Sim
1505700,Não,Não,Sim,Não,Não,Sim
1505809,Não,Sim,Sim,Não,Não,Não
1505908,Sim,Sim,Sim,Sim,Sim,Sim
1506005,Sim,Não,Sim,Sim,Sim,Não
1506104,Não,Não,Não,Não,Não,Não
1506112,Não,Não,Sim,Não,Não,Não
1506138,Não,Não,Não,Não,Sim,Não sabe
1506161,Sim,Sim,Não,Sim,Sim,Não
1506187,Não,Não,Sim,Não,Não,Sim
1506195,Sim,Não,Não,Não,Não,Não
1506203,Não,Não,Não,Não,Não,Não
1506302,Sim,Sim,Sim,Sim,Sim,Sim
1506351,Não,Não,Não,Não,Não,Não
1506401,Sim,Sim,Não sabe,Sim,Não sabe,Não sabe
1506500,Não,Sim,Não,Não,Não,Não
1506559,Não,Não,Não,Não,Não,Não
1506583,Não,Não,Não,Não,Não,Não
1506609,Não,Não,Não,Não,Não,Não
1506708,Sim,Sim,Não,Sim,Não,Sim
1506807,Sim,Sim,Sim,Sim,Sim,Sim
1506906,Não,Não,Não,Não,Não,Não
1507003,Não,Não,Não,Não,Não,Não
1507102,Não,Não,Não,Não,Não,Não
1507151,Sim,Não,Sim,Não,Não,Não
1507201,Sim,Não,Sim,Não,Não,Não
1507300,Sim,Sim,Não,Sim,Sim,Não
1507409,Não,Não,Não,Não,Não,Não
1507458,Sim,Não,Não,Não,Não,Não
1507466,Não,Não,Não,Não,Não,Não
1507474,Não,Não,Não,Não,Não,Não
1507508,Não,Não sabe,Não,Não,Não,Não
1507607,Não,Sim,Sim,Sim,Não,Não
1507706,Não sabe,Não sabe,Não sabe,Não sabe,Não sabe,Não sabe
1507755,Sim,Não,Não,Não,Não,Não
1507805,Não,Sim,Sim,Sim,Sim,Não
1507904,Não,Não,Não,Não,Não sabe,Não
1507953,Sim,Sim,Sim,Não,Sim,Não
1507961,Não,Não,Não,Não,Não,Não
1507979,Não,Sim,Não,Sim,Não,Não
1508001,Não sabe,Sim,Não,Sim,Sim,Não
1508035,Sim,Não,Sim,Sim,Não sabe,Não
1508050,Sim,Não,Não,Sim,Não,Não sabe
1508084,Sim,Não,Sim,Não,Sim,Não
1508100,Não sabe,Sim,Não,Sim,Sim,Não
1508126,Não,Não,Não,Não,Não,Não
1508159,Sim,Não,Não,Não,Não,Não
1508209,Não,Não,Não,Não,Não,Não
1508308,Sim,Sim,Não,Sim,Não,Não
1508357,Sim,Sim,Sim,Sim,Sim,Sim
1508407,Sim,Sim,Sim,Sim,Sim,Não sabe
1600055,Não,Não,Não,Não,Não,Não
1600105,Não,Não,Não,Não,Não,Não
1600154,Não,Sim,Não,Sim,Não,Não
1600204,Não,Sim,Sim,Sim,Sim,Não
1600212,Não,Não,Não,Não,Não,Não
1600238,Não,Sim,Sim,Sim,Sim,Não
1600253,Não,Não sabe,Não sabe,Não,Não,Não
1600279,Não,Sim,Não sabe,Sim,Não sabe,Não sabe
1600303,Não,Sim,Sim,Sim,Sim,Não
1600402,Não,Não,Não,Não,Não,Não
1600501,Não,Não,Não sabe,Não,Não,Não
1600535,Não,Não,Não sabe,Sim,Não,Não
1600550,Não,Não sabe,Não sabe,Não,Não,Não
1600600,Não,Sim,Sim,Sim,Não,Não
1600709,Não,Não sabe,Não sabe,Não sabe,Não,Não
1600808,Não,Não,Não,Sim,Não sabe,Não
1700251,Não,Não,Não,Não,Não,Não
1700301,Sim,Não,Não,Não,Não,Não
1700350,Sim,Não,Não,Não,Não,Não
1700400,Sim,Não,Não,Não,Não,Não
1700707,Sim,Não,Sim,Não,Não,Não
1701002,Sim,Não,Não,Não,Não,Não
1701051,Sim,Não,Não,Não,Sim,Não
1701101,Sim,Não,Não,Não,Não,Não
1701309,Não,Não,Não,Não,Não,Não
1701903,Não,Não,Não,Não,Não,Não
1702000,Sim,Não,Não,Não,Não,Não
1702109,Não,Sim,Sim,Sim,Sim,Sim
1702158,Não,Sim,Não,Sim,Sim,Sim
1702208,Não,Não,Não,Não,Não,Não
1702307,Sim,Não,Não,Não,Sim,Não
1702406,Sim,Não,Não,Não,Não,Não
1702554,Não,Não,Sim,Sim,Não,Não
1702703,Sim,Não,Não,Não,Não,Não
1702901,Sim,Não,Não,Sim,Não,Sim
1703008,Sim,Não,Não,Não,Não,Não
1703057,Não,Não,Não,Não,Não,Não
1703073,Sim,Não,Não,Não,Não,Não
1703107,Não,Não,Não,Não,Não,Não
1703206,Sim,Não,Não,Não,Não,Não
1703305,Sim,Não,Não,Não,Não,Não
1703602,Sim,Não,Não,Não,Não,Não
1703701,Sim,Não,Não sabe,Não,Sim,Não
1703800,Não,Não,Não,Não,Não,Não
1703826,Sim,Não,Não,Não,Sim,Não
1703842,Sim,Não,Não,Não,Não,Não
1703867,Não,Não,Não,Não,Não,Não
1703883,Não,Não,Não,Não,Não,Não
1703891,Não,Não,Não,Não,Não,Não
1703909,Não,Não,Não,Não,Não,Não
1704105,Sim,Não,Não,Não,Não,Não
1704600,Não,Não,Não,Não,Não,Não
1705102,Sim,Não,Não,Não,Não,Não
1705508,Não,Sim,Não,Sim,Não,Não
1705557,Sim,Não,Não,Não,Não,Não
1705607,Sim,Não,Não,Não,Não,Não
1706001,Sim,Não,Não,Não,Não,Não
1706100,Não,Não,Não,Não,Não,Não
1706258,Sim,Não,Não,Não,Não,Não
1706506,Sim,Não,Não,Sim,Não,Não
1707009,Sim,Não,Não,Não,Não,Não
1707108,Não,Não,Não,Não,Não,Não
1707207,Não,Não,Não,Não,Não,Não
1707306,Sim,Não,Não,Não,Não,Não
1707405,Não,Não,Não,Não,Não,Não
1707553,Não,Não,Não,Não,Não,Não
1707652,Sim,Não,Não,Não,Não,Não
1707702,Não,Não,Não,Não,Não,Não
1708205,Sim,Não,Sim,Não,Não,Não
1708254,Sim,Não,Não,Não,Não,Não
1708304,Não,Não,Não,Não,Não,Não
1709005,Sim,Não,Não,Não,Não,Não
1709302,Sim,Não,Não,Não,Não,Não
1709500,Não,Não,Não,Não,Não,Não
1709807,Sim,Não,Não,Não,Não,Não
1710508,Sim,Não,Não,Não,Não,Não
1710706,Não,Não,Não,Não,Não,Não
1710904,Sim,Não,Não,Não,Não,Não
1711100,Não,Não,Não,Não,Não,Não
1711506,Sim,Não,Não,Não,Não,Não
1711803,Não,Não,Não,Não,Não,Não
1711902,Não,Não,Não,Não,Não,Não sabe
1711951,Sim,Não,Não,Não,Não,Não
1712009,Sim,Não,Não,Não,Não,Não
1712157,Sim,Não,Sim,Não,Não,Não
1712405,Sim,Não,Não,Não,Não,Não
1712454,Sim,Não,Não,Não,Sim,Não
1712504,Não,Não,Não,Não,Não,Não
1712702,Não,Não,Não,Não,Não,Não
1712801,Sim,Não,Não,Não,Não,Não
1713205,Sim,Não,Não,Não,Não,Não
1713304,Sim,Não,Sim,Não,Não,Não
1713601,Sim,Não,Não,Não,Não,Não
1713700,Não,Não,Não,Não,Não,Não
1713809,Sim,Sim,Não,Não,Não,Não
1713957,Não,Não,Não,Não,Não,Não
1714203,Sim,Não,Não,Não,Não,Não
1714302,Sim,Sim,Não,Não,Não,Não
1714880,Sim,Não,Não,Não,Não,Não
1715002,Não,Não,Não,Não,Não,Não
1715101,Não,Não,Não,Não,Não,Não
1715150,Sim,Não,Não,Não,Não,Não
1715259,Sim,Não,Não,Não,Não,Não
1715507,Não,Não,Não,Não,Não,Não
1715705,Sim,Sim,Sim,Sim,Não,Sim
1715754,Sim,Não,Não,Não,Não,Não
1716109,Sim,Não,Sim,Não,Não,Não
1716208,Sim,Não,Não,Não,Não,Não
1716307,Sim,Não,Sim,Não,Não,Não
1716505,Sim,Não,Não,Não,Não,Não
1716604,Sim,Sim,Sim,Sim,Sim,Não
1716653,Não,Não,Não,Não,Não,Não
1716703,Sim,Não,Não,Não,Não,Não
1717008,Sim,Não,Não,Não,Não,Não
1717206,Não,Não,Não,Não,Não,Não
1717503,Não,Não,Não,Não,Não,Não
1717800,Sim,Não,Não,Não,Não,Não
1717909,Sim,Não,Sim,Não,Não,Não
1718006,Sim,Não,Não,Não,Não,Não
1718204,Não,Não sabe,Não sabe,Não sabe,Não sabe,Não
1718303,Não,Não,Sim,Não,Não,Não
1718402,Não,Não,Não,Não,Não,Não
1718451,Não,Não,Não,Não,Não,Não
1718501,Sim,Não,Não,Não,Não,Não
1718550,Sim,Não,Não,Não,Sim,Não
1718659,Sim,Não,Não,Não,Não,Não
1718709,Sim,Não,Não,Não,Não sabe,Não
1718758,Sim,Não,Não,Não,Não,Não
1718808,Não,Não,Não,Não,Não,Não
1718840,Sim,Não,Não,Não,Não,Não
1718865,Sim,Não,Não,Sim,Não,Não
1718881,Sim,Não,Não,Não,Não,Não
1718899,Sim,Não,Não,Não,Não,Não
1718907,Não,Não,Não,Não,Não,Não
1719004,Sim,Não,Não,Não,Não,Não
1720002,Sim,Não,Não,Não,Não,Não
1720101,Sim,Sim,Não,Sim,Sim,Não
1720150,Não,Não,Sim,Não,Não,Não
1720200,Não,Não,Não,Não,Não,Não
1720259,Sim,Não,Não,Não,Não,Não
1720309,Não,Sim,Não,Sim,Não,Não
1720499,Sim,Não,Não,Não,Não,Não
1720655,Sim,Não,Não,Não,Não,Não
1720804,Não,Não,Não,Não,Sim,Não
1720853,Sim,Não,Não,Não,Não,Não
1720903,Sim,Não,Não,Não,Não,Não
1720937,Sim,Não,Não,Não,Não,Não
1720978,Sim,Não,Não,Não,Não,Não
1721000,Sim,Sim,Sim,Sim,Não,Não
1721109,Sim,Não,Não,Não,Não,Não
1721208,Sim,Sim,Não,Sim,Não,Não
1721257,Sim,Não,Não,Não,Não,Não
1721307,Não,Não,Não,Não,Não,Não
1722081,Sim,Não,Não sabe,Não,Não,Não
1722107,Não,Não,Não,Não,Não,Não
2100055,Não,Sim,Sim,Sim,Sim,Sim
2100105,Sim,Não,Não,Não,Não,Não
2100154,Não,Não,Não,Não,Não,Não
2100204,Não,Não,Não,Não,Não,Não
2100303,Não,Não,Não sabe,Não sabe,Não,Não
2100402,Sim,Não,Não,Não,Não,Não
2100436,Não sabe,Não sabe,Não sabe,Não,Não sabe,Não
2100477,Não,Não,Sim,Não,Não,Sim
2100501,Sim,Não,Sim,Não,Sim,Não
2100550,Não sabe,Não,Não,Não,Não,Não
2100600,Sim,Não sabe,Não sabe,Não sabe,Não sabe,Não sabe
2100709,Não,Não,Não,Não,Não,Não
2100808,Não,Não,Não,Não,Não,Não
2100832,Não,Não,Não,Não,Não,Não
2100873,Não,Não,Não,Não,Não,Não
2100907,Não,Não,Não,Não,Não,Não
2100956,Sim,Não,Não,Não,Não,Não
2101004,Não,Não,Não,Não,Não,Não
2101103,Não,Não,Sim,Não,Não,Sim
2101202,Não,Não,Não,Não,Não,Não
2101251,Não,Não,Não,Não,Não,Não
2101301,Não,Não,Não,Não,Não,Não
2101350,Sim,Não,Sim,Não,Não,Não
2101400,Não,Sim,Sim,Sim,Sim,Sim
2101509,Sim,Sim,Não,Não,Não,Não
2101608,Não,Não,Não,Não,Não,Não
2101707,Não,Não,Não,Não,Não,Não
2101731,Sim,Não,Não,Não,Não,Não
2101772,Sim,Sim,Não,Não,Não,Não
2101806,Sim,Não,Não,Não,Não,Não
2101905,Não sabe,Não,Não,Não,Não,Não
2101939,Não,Não,Não,Não,Não,Não
2101970,Não,Não,Não,Não,Não,Não
2102002,Não,Não sabe,Não,Não,Não,Não
2102036,Sim,Não,Sim,Não,Não,Sim
2102077,Não,Não,Não,Não,Não,Não
2102101,Não,Não,Não,Não,Não,Não
2102150,Não,Não,Não,Não,Não,Não
2102200,Sim,Não,Não,Não,Não,Não
2102309,Sim,Não,Não,Não,Não,Não
2102325,Não,Não,Sim,Não,Não,Sim
2102358,Sim,Sim,Sim,Sim,Sim,Sim
2102374,Não,Não,Não,Não,Não,Não
2102408,Não,Não,Não,Não,Não,Não
2102507,Sim,Não,Não,Não,Não,Não
2102556,Não,Não,Não,Sim,Sim,Não
2102606,Não,Não,Não,Não,Não,Não
2102705,Não,Não,Não,Não,Não,Não
2102754,Não,Não,Não,Não,Não,Não
2102804,Sim,Sim,Não sabe,Sim,Sim,Não
2102903,Não,Não,Não,Não,Não,Não
2103000,Sim,Não,Sim,Não,Não,Não
2103109,Não,Não,Não,Não,Não,Não
2103125,Sim,Não,Não,Não,Não,Não
2103158,Não,Não,Não,Não,Não,Não
2103174,Não,Não,Não,Não,Não,Não
2103208,Sim,Não,Não,Não,Não,Não
2103257,Não,Não,Não,Não,Não,Não
2103307,Não,Sim,Sim,Não,Sim,Não
2103406,Não sabe,Sim,Não,Não,Não sabe,Não sabe
2103505,Sim,Não,Não,Não,Não,Não
2103554,Não,Não,Não,Sim,Não,Não
2103604,Sim,Sim,Não,Não,Não,Não
2103703,Não,Não,Não,Não,Não,Não
2103752,Não,Sim,Não sabe,Não,Não,Não
2103802,Não sabe,Não,Não,Não,Não,Não
2103901,Sim,Não,Não,Não,Não,Não
2104008,Não,Não sabe,Não sabe,Não,Não sabe,Não sabe
2104057,Não,Não,Não,Não,Não,Não
2104073,Sim,Não,Não,Não,Não,Não
2104081,Sim,Não,Não,Não,Não,Não
2104099,Sim,Não,Não,Não,Não,Não
2104107,Sim,Não,Não,Não,Não,Não
2104206,Sim,Não,Não,Não,Não,Não
2104305,Não,Não,Sim,Não,Não,Não
2104404,Não,Não,Não,Não,Não,Não
2104503,Sim,Não,Não,Não,Não,Não
2104552,Sim,Não,Não sabe,Não,Não,Não
2104602,Sim,Não,Não,Não,Não,Não
2104628,Sim,Não,Não,Não,Não,Não
2104651,Não,Não sabe,Não sabe,Não sabe,Não sabe,Não
2104677,Não,Não,Sim,Não,Sim,Não
2104701,Não,Não,Não,Não,Não,Não
2104800,Sim,Sim,Não,Sim,Não,Não
2104909,Sim,Não,Sim,Não sabe,Não sabe,Não
2105005,Não,Não,Não,Não,Não,Não
2105104,Não,Não,Não,Não,Não,Não
2105153,Não,Sim,Não,Sim,Sim,Não
2105203,Sim,Não,Não,Não,Não,Não
2105302,Não,Sim,Não,Sim,Não,Não
2105351,Sim,Não,Não,Não,Não,Não
2105401,Não,Não,Não,Não,Não,Não
2105427,Não,Não,Não,Não,Não,Não
2105450,Sim,Não,Não,Não,Não,Não
2105476,Sim,Não,Não,Não,Não,Não
2105500,Não,Não,Não,Não,Não,Não
2105609,Não,Não,Não,Sim,Não,Não
2105658,Não,Não,Não,Não,Não,Não
2105708,Não,Sim,Sim,Sim,Sim,Sim
2105807,Sim,Não,Não,Não,Não,Não
2105906,Não,Não,Não,Não,Não,Não
2105922,Não,Não,Não,Não,Não,Não
2105948,Não sabe,Não,Não,Não,Não,Não
2105963,Sim,Sim,Não,Sim,Não,Não
2105989,Não,Não,Não,Não,Não,Não
2106003,Não,Não,Não,Não,Não,Não
2106102,Sim,Não,Não,Não,Não,Não
2106201,Não,Não,Não,Não,Não,Não
2106300,Não,Não,Não,Não,Não,Não
2106326,Não,Não,Não,Não,Não,Não
2106359,Sim,Sim,Sim,Não,Não,Não
2106375,Não,Não,Não,Não,Não,Não
2106409,Não,Não,Não,Não,Não,Não
2106508,Não,Não,Não,Não,Não,Não
2106607,Sim,Sim,Sim,Não,Não,Não
2106631,Não,Não,Não,Não,Não,Não
2106672,Não,Não,Não,Sim,Não,Não
2106706,Sim,Não,Não,Não,Não,Não
2106755,Sim,Não,Não,Não,Não,Não
2106805,Não,Não,Não,Não,Não,Não
2106904,Não,Não,Não,Não,Não,Não
2107001,Sim,Não,Não,Não,Não,Não
